Job Role,Company Name,Location,Date Posted,Apply Link,Company Link,No. of Applicants,Company / Job Details,Source
Technical Sales Development Representative,Kinetic Innovative Staffing Pty Ltd,Remote,2026-09-10,https://www.foundit.in/job/technical-sales-development-representative-kinetic-innovative-staffing-pty-ltd-remote-66400774,N/A,18.0,"Experience: 3-7 Years | Salary: 7,20,000-9,60,000 PHP | Key Skills: technical sales presentations,Technical Sales, Cybersecurity | Industry: Cyber Security | Function: Others",Foundit
Sales Development Representative,Qwertyabcd Labs Private Limited,Bengaluru,2026-09-09,https://www.foundit.in/job/sales-development-representative-qwertyabcd-labs-private-limited-bengaluru-bangalore-66249295,N/A,15.0,"Experience: 1-4 Years | Salary: 1,00,000-5,00,000 INR | Key Skills: Problem Solving, Sales, Communication, Presentation Skills, B2b Sales, Lead Generation, Cold Calling | Function: Sales/Business Development",Foundit
Business Development Executive,Rao Edusolutions Private Limited,"Powai, Mumbai/Bombay",2026-09-12,https://apna.co/job/mumbai-bombay/business-development-executive-898576603,N/A,,"Company: Rao Edusolutions Private Limited | Location: Powai, Mumbai/Bombay | Salary: ₹30,000 - ₹60,000 | Tags: Work from Office, Full Time, Min. 1 year, Good (Intermediate / Advanced) English",Apna
Sales Representative,Jupiter Technologies,Bangalore,2026-09-12,https://www.instahyre.com/job-422442-sales-representative-at-jupiter-technologies-bangalore/,https://www.jupiter.com,,"Company: Jupiter Technologies | Skills: B2B, Corporate Sales, Direct Sales, Sales, enterprise sales | Target: Sales Representative",Instahyre
Sales Development Representative,ZenTrades,Pune,2026-09-12,https://www.instahyre.com/job-437846-sales-development-representative-at-zentrades-pune/,https://www.zentrades.in,,"Company: ZenTrades | We are seeking a highly motivated and results-drivenSales Development Representative (SDR)with at least1-2 years of experience in sales and lead generation, preferably in the US market. This role combines hands-on sales responsibilities with the leadership and development of a team of SDR interns. The ideal candidate is persuasive, goal-oriented, and eager to both drive revenue growth and mentor the next generation of sales talent. Responsibilities: Lead Generation and Pipeline Growth: Identify and develop new sales opportunities through research, outreach, and networking. Sales Management: Pitch products and/or services, manage client accounts, and close deals to achieve revenue targets. Relationship Building: Maintain and grow long-term, fruitful relationships with existing customers. Day-to-Day Duties: Make outbound calls, emails, and LinkedIn outreach to potential clients. Understand client needs, offer tailored solutions, and provide consultative support. Guid",Instahyre
Sales Development Representative,Kloudfuse,Bangalore,2026-09-12,https://www.instahyre.com/job-441436-sales-development-representative-at-kloudfuse-bangalore/,https://www.kloudfuse.com,,"Company: Kloudfuse | Skills: BDR, business development, DevOps, devtools, observability, SaaS, sales development representative, SDR, technical sales | Target: Sales Development Representative",Instahyre
Sales Development Representative,PineGap.ai,Bangalore,2026-09-12,https://www.instahyre.com/job-440232-sales-development-representative-at-pinegap-bangalore/,N/A,,"Company: PineGap.ai | Responsibilities: Drive high-volume outbound prospecting through cold calls, emails, LinkedIn, and other relevant channels. Identify, research, and engage potential customers within the target market. Build and maintain a strong pipeline of qualified prospects. Generate, qualify, and convert prospects into qualified business opportunities. Conduct detailed account and prospect research to create personalised outreach strategies. Handle initial prospect conversations and effectively communicate the value proposition. Manage objections and identify potential opportunities. Collaborate closely with Account Executives and the wider sales team to ensure smooth handover of qualified opportunities. Consistently achieve outbound activity, meeting-generation, and pipeline targets. Maintain accurate prospect and pipeline information in the CRM. Requirements: 1-4 years of relevant experience as a BDR, SDR, or in outbound business development. Strong and recent experience in ",Instahyre
Sales Development Representative,ZenStatement,Bangalore,2026-09-12,https://www.instahyre.com/job-425363-sales-development-representative-at-zenstatement-bangalore/,https://www.zenstatement.com,,"Company: ZenStatement | Skills: Business Development, Corporate Sales, Direct Sales, Inside Sales, Lead Generation, Sales | Target: Sales Development Representative",Instahyre
Sales Development Representative,Kodo,Mumbai,2026-09-12,https://www.instahyre.com/job-424309-sales-development-representative-at-kodo-mumbai/,https://www.kodo.com,,"Company: Kodo | As a Sales Development Representative, you play a critical role in driving revenue growth by identifying, engaging, and qualifying potential customers. You are the first point of contact in the sales cycle responsible for generating high-quality leads, nurturing early relationships, and creating strong opportunities for the sales team Responsibilities: Identify and engage potential customers through outbound calls, emails, social outreach, and market research. Evaluate prospect fit based on business needs, pain points, budget, and buying intent. Ensure high-quality opportunities are passed to the sales team. Maintain a healthy pipeline through consistent outreach and follow-ups. Track activities and lead status in the CRM. Conduct introductory calls to understand customer challenges and position our fintech and expense management solutions effectively. Schedule product demos and meetings for Account Executives. Ensure smooth handoff and provide context for each opportun",Instahyre
Sales Development Representative,Perennial Systems,Pune,2026-09-12,https://www.instahyre.com/job-432010-sales-development-representative-at-perennial-systems-pune/,N/A,,"Company: Perennial Systems | The ideal candidate should have experience and skills in lead appointment generation. techniques, as well as the ability to work with sales and marketing teams to build a prospect database and schedule appointments. The candidate should also have excellent communication skills, be able to think creatively and identify key decision-makers in target companies and be comfortable making cold calls and executing email campaigns. Knowledge of the latest trends, technologies, and automation software such as LinkedIn and Sales CRM is also important, as is the ability to do regular follow-ups with prospects. The ideal candidate should be intelligent, self-driven, and target-orientated, with above-average proficiency in Excel and the ability to create, analyse, and optimise processes to enable faster deliveries. The candidate should be able to work in a fast-paced, challenging environment and manage and execute plans with strict deadlines. Responsibilities: Proactive",Instahyre
